time_to_recover,event_timing,team
134.293,before event,England
177.756,before event,France
10.797,after event,France
335.514,after event,England
23.517,before event,England
12.846,before event,England
85.921,after event,France
41.229,after event,France
1.129,after event,France
166.315,after event,England
8.413,before event,England
27.393,before event,England
330.881,after event,France
1.414,before event,France
48.659,before event,England
82.229,before event,France
75.111,before event,France
55.41,after event,England
2.482,after event,England
3.965,after event,France
1.932,after event,France
71.306,after event,England
59.994,after event,England
88.023,after event,England
