team,period,loss_time,recovery_time,time_to_recover
Saudi Arabia,2,2025-06-20 00:32:53.932,2025-06-20 00:38:18.281,324.349
Saudi Arabia,2,2025-06-20 00:38:18.281,2025-06-20 00:38:59.133,40.852
Argentina,2,2025-06-20 00:38:59.133,2025-06-20 00:40:10.731,71.598
Argentina,2,2025-06-20 00:40:17.806,2025-06-20 00:43:51.446,213.64
Argentina,2,2025-06-20 00:43:51.446,2025-06-20 00:43:55.514,4.068
Saudi Arabia,2,2025-06-20 00:43:55.514,2025-06-20 00:47:19.816,204.302
Saudi Arabia,2,2025-06-20 00:47:19.816,2025-06-20 00:49:05.445,105.629
Saudi Arabia,2,2025-06-20 00:49:05.445,2025-06-20 00:49:31.304,25.859
Saudi Arabia,2,2025-06-20 00:49:31.304,2025-06-20 00:54:02.200,270.896
Saudi Arabia,2,2025-06-20 00:54:02.200,2025-06-20 00:57:18.815,196.615
Saudi Arabia,2,2025-06-20 00:57:18.815,2025-06-20 00:57:49.798,30.983
Saudi Arabia,2,2025-06-20 00:57:49.798,2025-06-20 00:58:28.977,39.179
