Team,Match ID,Opposing Team,Event Type,Significant Impact,Avg TRB Before (s),Avg TRB After (s),Faster After Event,Original p-value,BH Corrected p-value,Correction Method
Argentina,3857300,Saudi Arabia,Substitutions,Yes,92.16,43.42,Yes,0.020124,0.030186,"Benjamini-Hochberg (Match-level, α=0.05)"
Argentina,3857300,Saudi Arabia,Injuries,Yes,113.01,7.12,Yes,0.000847,0.002541,"Benjamini-Hochberg (Match-level, α=0.05)"
