analysis_level,team,match_id,opposing_team,event_type,p_value,test_statistic,before_n,after_n,avg_before,avg_after,faster_after,cliffs_delta,ci_lower,ci_upper,effect_size,significant_uncorrected,bh_corrected_p,significant_after_bh,correction_scope,correction_method
match,Argentina,3869685,France,tactical_shifts,0.471069106969663,122.0,15,14,74.85013333333333,56.13671428571428,True,0.1619047619047619,-0.24785714285714286,0.5477380952380951,Small,False,0.666594501157594,False,Within Match 3869685,"Benjamini-Hochberg (Match-level, α=0.05)"
match,Argentina,3869685,France,injuries,0.5880721703873876,105.5,17,11,146.36741176470588,83.63209090909092,True,0.12834224598930483,-0.3155080213903743,0.5401069518716578,Negligible,False,0.666594501157594,False,Within Match 3869685,"Benjamini-Hochberg (Match-level, α=0.05)"
match,Argentina,3869685,France,yellow_cards,0.126869349311055,28.0,6,6,137.70383333333334,43.63183333333333,True,0.5555555555555556,-0.1111111111111111,1.0,Large,False,0.634346746555275,False,Within Match 3869685,"Benjamini-Hochberg (Match-level, α=0.05)"
match,France,3857266,Denmark,substitutions,0.26472794838456537,60.0,7,13,147.90142857142857,65.44261538461538,True,0.31868131868131866,-0.2967032967032967,0.8686813186813181,Small,False,0.26472794838456537,False,Within Match 3857266,"Benjamini-Hochberg (Match-level, α=0.05)"
match,France,3857279,Australia,all_goals,0.369228457018421,11.5,5,7,37.919,61.25814285714286,False,-0.34285714285714286,-0.9142857142857143,0.3142857142857143,Medium,False,0.369228457018421,False,Within Match 3857279,"Benjamini-Hochberg (Match-level, α=0.05)"
match,France,3857279,Australia,substitutions,0.20245243896845744,63.0,10,18,19.3747,45.6595,False,-0.3,-0.6779166666666667,0.14444444444444443,Small,False,0.369228457018421,False,Within Match 3857279,"Benjamini-Hochberg (Match-level, α=0.05)"
match,France,3857275,Tunisia,substitutions,0.6978520437962087,92.0,14,12,70.92714285714285,63.27241666666666,True,0.09523809523809523,-0.34523809523809523,0.5059523809523809,Negligible,False,0.883190289617842,False,Within Match 3857275,"Benjamini-Hochberg (Match-level, α=0.05)"
match,France,3857275,Tunisia,injuries,0.883190289617842,37.0,10,7,77.58,85.07185714285716,False,0.05714285714285714,-0.5142857142857142,0.6285714285714286,Negligible,False,0.883190289617842,False,Within Match 3857275,"Benjamini-Hochberg (Match-level, α=0.05)"
match,France,3869152,Poland,substitutions,0.5688554255386256,58.0,10,10,78.60359999999999,64.691,True,0.16,-0.4,0.67,Small,False,0.5688554255386256,False,Within Match 3869152,"Benjamini-Hochberg (Match-level, α=0.05)"
match,France,3869552,Morocco,injuries,0.8457796775972303,22.0,8,6,68.112625,57.86716666666666,True,-0.08333333333333333,-0.75,0.5416666666666666,Negligible,False,0.8457796775972303,False,Within Match 3869552,"Benjamini-Hochberg (Match-level, α=0.05)"
match,France,3869685,Argentina,all_goals,0.17609514746242882,39.0,12,10,34.74791666666666,101.13739999999999,False,-0.35,-0.8,0.18333333333333332,Medium,False,0.2347935299499051,False,Within Match 3869685,"Benjamini-Hochberg (Match-level, α=0.05)"
match,France,3869685,Argentina,substitutions,0.02830164788698056,307.5,20,22,61.73344999999999,35.14422727272727,True,0.3977272727272727,0.04767045454545455,0.7001136363636362,Medium,True,0.11320659154792224,False,Within Match 3869685,"Benjamini-Hochberg (Match-level, α=0.05)"
match,France,3869685,Argentina,tactical_shifts,0.09293686627349755,144.0,11,19,54.52572727272725,31.958842105263162,True,0.37799043062200954,-0.12930622009569379,0.8277511961722488,Medium,False,0.1858737325469951,False,Within Match 3869685,"Benjamini-Hochberg (Match-level, α=0.05)"
match,France,3869685,Argentina,yellow_cards,0.590857883464792,47.0,16,5,53.86931249999999,61.2256,False,0.175,-0.4378125,0.8,Small,False,0.590857883464792,False,Within Match 3869685,"Benjamini-Hochberg (Match-level, α=0.05)"
