time_to_recover,event_timing,team
109.808,after event,Argentina
44.285,after event,Poland
109.808,after event,Argentina
44.285,after event,Poland
63.378,before event,Poland
177.058,before event,Poland
23.112,after event,Poland
83.895,after event,Argentina
63.378,before event,Poland
177.058,before event,Poland
23.112,after event,Poland
83.895,after event,Argentina
148.551,after event,Argentina
63.378,before event,Poland
177.058,before event,Poland
23.112,before event,Poland
83.895,after event,Argentina
148.551,after event,Argentina
3.891,after event,Argentina
137.765,before event,Poland
2.395,before event,Poland
342.484,before event,Argentina
64.396,after event,Argentina
64.396,before event,Argentina
395.624,before event,Poland
64.396,before event,Argentina
395.624,before event,Poland
3.278,after event,Poland
44.125,after event,Argentina
9.768,after event,Poland
125.821,after event,Poland
3.278,after event,Poland
44.125,after event,Argentina
9.768,after event,Poland
125.821,after event,Poland
